#,Year,AveTemp,Tanon,Snow,Sanon
1,2012,-2.625,1.597761194,17.81666667,1.569102564
2,2011,-2.708333333,1.514427861,15.15833333,-1.089230769
3,2010,-0.491666667,3.731094527,12.55833333,-3.689230769
4,2009,-3.9,0.322761194,12.63333333,-3.614230769
5,2008,-4.316666667,-0.093905473,16.10833333,-0.139230769
6,2007,-3.883333333,0.339427861,18.75833333,2.510769231
7,2006,-1.508333333,2.714427861,14.46666667,-1.780897436
8,2005,-2.75,1.472761194,14.41666667,-1.830897436
9,2004,-5.608333333,-1.385572139,18.3,2.052435897
10,2003,-3.158333333,1.064427861,10.21666667,-6.030897436
11,2002,-4.783333333,-0.560572139,18.93333333,2.685769231
12,2001,-1.825,2.397761194,14.50833333,-1.739230769
13,2000,-3.275,0.947761194,12.74166667,-3.505897436
14,1999,-1.591666667,2.631094527,16.41666667,0.169102564
15,1998,-1.975,2.247761194,17.15833333,0.910769231
16,1997,-4.3,-0.077238806,16.75833333,0.510769231
17,1996,-4.808333333,-0.585572139,29.66666667,13.41910256
18,1995,-4.491666667,-0.268905473,18.96666667,2.719102564
19,1994,-3.966666667,0.256094527,23.81666667,7.569102564
20,1993,-4.283333333,-0.060572139,19.48333333,3.235769231
21,1992,-5.066666667,-0.843905473,26.53333333,10.28576923
22,1991,-4.1,0.122761194,20.61666667,4.369102564
23,1990,-4.833333333,-0.610572139,23.41666667,7.169102564
24,1989,-5.6,-1.377238806,14.5,-1.747564103
25,1988,-4.116666667,0.106094527,24.65833333,8.410769231
26,1987,-1.883333333,2.339427861,19.61666667,3.369102564
27,1986,-4.591666667,-0.368905473,19.85833333,3.610769231
28,1985,-4.566666667,-0.343905473,17.75,1.502435897
29,1984,-3.7,0.522761194,24.5,8.252435897
30,1983,-4.008333333,0.214427861,24.30833333,8.060769231
31,1982,-5.591666667,-1.368905473,18.80833333,2.560769231
32,1981,-2.741666667,1.481094527,13.95833333,-2.289230769
33,1980,-4.483333333,-0.260572139,21.875,5.627435897
34,1979,-5.483333333,-1.260572139,15.575,-0.672564103
35,1978,-5.375,-1.152238806,16.23333333,-0.014230769
36,1977,-2.841666667,1.381094527,10.775,-5.472564103
37,1976,-4.358333333,-0.135572139,21.21666667,4.969102564
38,1975,-4.266666667,-0.043905473,15.81666667,-0.430897436
39,1974,-5.641666667,-1.418905473,12.95833333,-3.289230769
40,1973,-3.741666667,0.481094527,18.95,2.702435897
41,1972,-6.958333333,-2.735572139,11.025,-5.222564103
42,1971,-4.041666667,0.181094527,24.00833333,7.760769231
43,1970,-4.516666667,-0.293905473,25.65,9.402435897
44,1969,-3.666666667,0.556094527,16.58333333,0.335769231
45,1968,-3.916666667,0.306094527,11.83333333,-4.414230769
46,1967,-4.716666667,-0.493905473,17.44166667,1.194102564
47,1966,,,,
48,1965,,,,
49,1964,,,,
50,1963,-5.791666667,-1.568905473,,
51,1962,-6.258333333,-2.035572139,,
52,1961,-4.875,-0.652238806,17.125,0.877435897
53,1960,-4.85,-0.627238806,9.616666667,-6.630897436
54,1959,-5.475,-1.252238806,17.59166667,1.344102564
55,1958,-4.958333333,-0.735572139,17.575,1.327435897
56,1957,-4.966666667,-0.743905473,14.95833333,-1.289230769
57,1956,-5.266666667,-1.043905473,12.35833333,-3.889230769
58,1955,-4.008333333,0.214427861,11.95833333,-4.289230769
59,1954,-3.841666667,0.381094527,13.59166667,-2.655897436
60,1953,-3.225,0.997761194,10.70833333,-5.539230769
61,1952,-3.533333333,0.689427861,14.95,-1.297564103
62,1951,-5.233333333,-1.010572139,12.55,-3.697564103
63,1950,-6.783333333,-2.560572139,10.4,-5.847564103
64,1949,-5.233333333,-1.010572139,9.716666667,-6.530897436
65,1948,-3.75,0.472761194,7.308333333,-8.939230769
66,1947,-5.366666667,-1.143905473,10.63333333,-5.614230769
67,1946,-5.2,-0.977238806,13.99166667,-2.255897436
68,1945,-6,-1.777238806,13.80833333,-2.439230769
69,1944,-3.541666667,0.681094527,5.65,-10.5975641
70,1943,-3.708333333,0.514427861,4.25,-11.9975641
