#,Depth,Year CE,Allocladius nansini,Chaetocladius dentiforceps,Chironomini larvula,Chironomous,Cladopelma lateralis,Cladotanytarsus mancus,Corynoneura arctica,Corynoneura edwardsi,Cricotopus cylindraceus,Cricotopus intersectus,Cricotopus laricomalis,Cricotopus tremulus,Cricotopus type P,Cryptochironomus,Derotanypus,Dicrotendipes ,Endochironomous impar,Eukiefferiella devonica,Glyptotendipes barbipes,Guttipelopia,Gymnometriocnemus,Heterotrissocladius grimshawi,Heterotrissocladius maeari type 1,Heterotrissocladius marcidus,Lasiodiamesa,Limnophyes,Mesocricotopus,Metriocnemus,Micropsectra contracta,Micropsectra insignilobus,Microtendipes pedellus,Orthocladius type I,Orthocladius type S,Pentanurini,Paracladius,Paracricotopus,Parakeifferiella nigra,Paralimnophyes,Parametriocnemus,Paraphaenocladius,Paratanytarsus pencilatus,Polypedilum nuberculosum,Procladius,Psectrocladius barbatipes,Psectrocladius calcaratus,Psectrocladius psilopterus,Psectrocladius septentrionalis,Psectrocladius sordidellus,Psectrocladius undiff,Pseudosmittia,Smittia,Stempellina,Tanypus,Tanytarsus chinyensis,Tanytarsus glabrescens,Tanytarsus lactescens,Tanytarsus mendax,Tanytarsus pallidicornis,Thienemanniola,Tvetenia bavarica,Zalutschia type C,Tanytarsus no spur,Tanytarsini undiff,Undifferentiated
1,0.25,2009.6,0,0,0,2,1,6,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.5,0,0,0,1,0,1,0,0.5,0,5,2.5,0,0,0,1,0,0,2,0,7.5,3,0,0,0,8,3,2
2,1.25,1998.9,0,0,0,1,2.5,4,0,0,0,0,0,1,0,1,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1.5,3.5,7,0,0,0,0,0,0,2,3,12,7,0,0,0,8.5,2,2.5
3,1.75,1994.4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,1,0,1,1.5,0,0,0,4,0,2,0,1,0,0.5,2,0,1,0,0,0,1,2,1,7,6,0,0,0,5.5,3,4
4,2.25,1989.8,0,0,0,1.5,1,7,0,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0.5,0,1.5,6.5,0,0,0,0,0,0,1,1,8.5,3,0,0,0,5,4.5,4
5,2.75,1985.5,0,0,0,2.5,1,5,0,0,0,0.5,0,0,0,0,0,2.5,0.5,0,0,2,0,0,0,0,0,3.5,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,0,1,0,1.5,3.5,0,0,0,0,1,0,3,2,5,3,0,0,0,7.5,3,1.5
6,3.25,1980.5,0,0,0,1,1,11.5,0,0,0.5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,2.5,0,1,0,2.5,2.5,0.5,0,0,0,0,0,5,1,11,2,0,0,0,7.5,1,1.5
7,3.75,1976.3,0,0,0,0,2,3,0,0,0.5,1.5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,4,0,2,0,0,0,1.5,6.5,0.5,0,0,0,1,0,1,2,10.5,1,0,0,0,7,2.5,0
8,4.25,1971.4,0,1,0,3,2,8,0,0,0,2,0,0,0,0,0,4.5,0,0,0,1,0,0,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,1.5,0,0,1,3,0,5,0,0.5,0,2,5.5,2.5,0,0,0,0,0,7.5,1,20,10,0,0,0,12,4,6
9,4.75,1966.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,5,0,0.5,0,1.5,3,0,0,0,0,0,0,5,1,8,5,0,0,0,9.5,3,0
10,5.25,1962.2,0,0,1,2,2,8,0,0,0,0.5,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,1.5,5.5,1,0,0,1,0,0,1,6,17,6,0,0,0,15.5,6.5,1.5
