#,Depth,Year,%C,%N,C/N,d13C,d15N,d18O
1,0,2009.6,48.9021,2.8269,17.2988,-18.0625,-1.2433,-11.2396
2,0.5,2009.2262,48.5091,2.8428,17.064,-18.1053,-0.8794,-10.7294
3,1,2007.8231,47.6133,2.7873,17.0822,-18.2988,-0.4911,-11.2174
4,1.5,2006.2548,48.3277,2.9082,16.6176,-18.249,-0.5202,-11.3052
5,2,2004.4624,49.0564,3.0102,16.2967,-18.235,-0.7871,-10.3518
6,2.5,2002.536,48.4993,2.9342,16.5291,-18.3207,-0.4697,-11.916
7,3,2000.2758,47.3907,2.6924,17.6018,-18.2073,-0.749,-10.8407
8,3.5,1997.5192,49.0224,2.7863,17.594,-18.1215,-0.6243,-11.2377
9,4,1994.8427,49.1542,2.8923,16.9946,-18.237,-0.6147,-10.2327
10,4.5,1991.6149,47.1192,2.7134,17.3652,-18.3794,-0.8605,-11.716
11,5,1988.8594,48.6097,2.7739,17.524,-18.202,-0.5762,-11.9874
12,5.5,1986.1863,47.7897,2.8828,16.5777,-18.1851,-0.3665,-11.4112
13,6,1983.1899,45.6468,2.6083,17.5007,-18.4854,-0.5033,-11.1392
14,6.5,1979.9493,49.238,2.8205,17.4574,-18.1252,-0.8613,-11.6592
15,7,1976.9946,48.3921,2.7142,17.8295,-18.2677,-0.6047,-10.9368
16,7.5,1973.4385,48.7522,2.5954,18.7844,-18.0775,-1.2664,-11.9934
17,8,1970.2128,48.6911,2.789,17.4583,-17.8805,-0.5405,-10.4946
18,8.5,1966.8128,48.8515,2.8502,17.14,-17.8736,-0.2029,-13.0301
19,9,1963.369,48.8314,2.669,18.2954,-17.8287,-0.5362,-13.4857
20,9.5,1959.378,49.1214,2.7339,17.9675,-17.7739,-0.6328,-15.136
21,10,1955.2149,49.4095,2.7261,18.1249,-17.6785,-0.2059,-11.6663
22,10.5,1951.1497,48.1606,2.6712,18.0296,-17.6931,-0.5204,-13.2537
23,11,1947.076,49.7003,2.7185,18.2823,-17.6052,-0.3086,-12.1851
24,11.5,1942.8889,49.2605,2.6985,18.2549,-17.5506,-0.2544,-14.9105
25,12,1938.9088,48.732,2.5936,18.7894,-17.656,-0.5802,-11.0772
26,12.5,1934.7122,49.343,2.6789,18.4191,-17.4893,-0.0895,-11.5237
27,13,1925.3801,48.8213,2.5275,19.3159,-17.6675,-0.9037,-11.0643
28,13.5,1921.1826,48.6129,2.5647,18.9548,-17.6232,-0.3466,-11.8547
29,14,1916.1963,49.0178,2.5276,19.3933,-17.641,-0.4431,-12.291
30,14.5,1911.6196,49.0257,2.5375,19.3202,-17.6062,-0.4949,-16.3334
31,15,1907.3976,50.2745,2.6457,19.002,-17.6634,-0.3625,-15.5193
32,15.5,1902.1688,49.175,2.4568,20.0158,-17.621,-0.4208,-13.9416
33,16,1897.101,49.2691,2.5794,19.1013,-17.5089,-0.3261,-15.7422
34,16.5,1891.7476,49.5002,2.423,20.4296,-17.3284,-0.4062,-13.9566
35,17,1886.5164,49.1077,2.5036,19.6149,-17.41,0.0274,-13.0123
36,17.5,1880.9565,53.7656,2.6771,20.0835,-17.2113,-0.4952,-14.7505
37,18,1875.0216,41.5726,2.0932,19.8605,-17.5761,-0.1389,-12.3581
38,18.5,1860.974,53.2075,2.731,19.4825,-17.2996,0.0245,-13.59
39,19,1856.5922,48.1998,2.519,19.1344,-17.3076,-0.1264,-13.9494
40,20,1852.2079,49.0843,2.4316,20.2034,-17.4295,-0.5223,-13.94
41,21,1846.2875,49.3166,2.553,19.3208,-17.3178,-0.1478,-14.58
42,22,1841.947,47.6343,2.4664,19.3135,-17.2488,-0.0447,-13.3834
43,22.5,1836.7266,46.479,2.4449,19.0107,-17.2626,0.1786,-14.3836
44,23,1831.1047,50.7645,2.7133,18.7098,-17.3195,0.1688,-11.8297
45,23.5,1825.9073,48.0683,2.5433,18.8997,-17.2002,0.0102,-14.9243
46,24,1821.8126,49.7968,2.4215,20.5641,-17.1504,-0.4415,-11.4617
47,24.5,1816.5278,47.4489,2.4496,19.3701,-17.54,0.1537,-11.9576
48,25,1811.9404,46.7169,2.3498,19.8812,-17.5454,-0.2657,-10.45
49,25.5,1806.9369,50.3688,2.6116,19.2862,-17.5938,0.176,-10.9436
50,26,1802.3175,48.2037,2.5564,18.8558,-17.7031,0.4507,-11.29
51,26.5,1797.0889,48.6401,2.595,18.7434,-17.6748,0.2087,-11.3726
52,27,1791.3133,50.0519,2.6298,19.0325,-17.844,0.1004,-13.4504
53,27.5,1785.5535,48.3225,2.4691,19.571,-17.8262,-0.128,-15.3878
54,28,1780.7262,47.1328,2.4855,18.9631,-17.725,0.3168,-13.6938
55,28.5,1774.4992,47.5604,2.4165,19.6818,-17.4127,0.0159,-13.1341
56,29,1769.9254,46.415,2.4708,18.7852,-17.5881,0.2275,-13.9498
57,29.5,1764.3128,48.6455,2.507,19.4041,-17.49,0.2955,-15.0164
58,30,1747.6111,47.1873,2.3732,19.8837,-17.559,0.064,-14.4861
59,30.5,1741.4653,46.8297,2.5252,18.5449,-17.407,0.2623,-16.2048
60,31,1736.5794,47.5341,2.4179,19.6589,-17.7288,-0.2035,-14.1168
61,31.5,1730.3511,46.8528,2.5356,18.4782,-17.5404,0.4002,-14.4092
62,32,1724.471,45.7162,2.3749,19.2497,-17.1313,-5.63E-03,-11.3307
63,32.5,1719.2051,43.8665,2.2636,19.3794,-17.488,-0.17,-11.7702
64,33,1712.707,45.3988,2.4089,18.8463,-17.4897,0.3976,-12.3312
65,33.5,1706.405,50.2109,2.5088,20.0142,-17.2597,-0.2772,-15.2666
66,34,1700.5985,43.5815,2.216,19.6664,-17.3445,-0.3995,-13.5351
67,34.5,1693.9221,41.5766,2.2333,18.6164,-17.5398,0.261,-13.2803
68,35,1686.1797,47.3465,2.4588,19.2562,-17.37,0.69,-12.5
69,35.5,1682.6041,45.6716,2.4679,18.5066,-17.3895,0.3845,-13
70,36,1676.4258,46.3649,2.3824,19.4613,-17.844,-0.0964,-12.6917
71,36.5,1670.2063,46.9546,2.4142,19.4493,-17.6598,0.0421,-12.01
72,37,1663.4919,42.8915,2.1735,19.7334,-18.1159,0.1357,-10.2336
73,37.5,1657.6808,45.8299,2.4889,18.4137,-18.1153,0.4317,-14.8146
74,38,1651.3254,47.4232,2.5339,18.7158,-17.8261,0.2729,-13.6768
75,38.5,1644.0575,47.897,2.4349,19.6709,-17.6381,0.1695,-13.8576
76,39,1633.7686,49.4644,2.6432,18.7141,-17.375,0.2405,-14.8146
