#,Depth,Year CE,Comp01,Comp02,err1,err2,Tanon,Tanon2
1,0.25,2009.6,12.34030207,11.46728381,0.174090492,0.38556246,0.368971233,1.338411989
2,1.25,1998.9,12.62782195,11.05496773,0.181584769,0.348124167,0.656491112,0.926095909
3,1.75,1994.4,11.58810417,9.217917669,0.301881203,0.774294787,-0.383226668,-0.910954152
4,2.25,1989.8,11.92310034,9.818143691,0.178212171,0.356274979,-0.048230498,-0.31072813
5,2.75,1985.5,11.95121551,10.49944883,0.176176284,0.377018549,-0.020115327,0.370577009
6,3.25,1980.5,12.06734462,10.23588074,0.178135709,0.387749706,0.096013783,0.107008919
7,3.75,1976.3,11.76946789,9.667464842,0.172607785,0.356569498,-0.201862948,-0.461406979
8,4.25,1971.4,11.50329015,9.069867257,0.198533533,0.432620433,-0.468040688,-1.059004564
9,4.75,1966.5,11.66346154,10.55109214,0.179519625,0.385134765,-0.307869298,0.422220319
10,5.25,1962.2,11.90785572,10.92378525,0.179117797,0.373629997,-0.063475117,0.794913429
11,5.75,1957.5,11.74943288,10.07092363,0.170125466,0.316613648,-0.221897958,-0.057948191
12,6.25,1952.8,11.74232457,9.800930375,0.172319045,0.347326877,-0.229006268,-0.327941446
13,6.75,1948.1,11.69804264,9.492700756,0.191280442,0.465103668,-0.273288197,-0.636171065
14,7.25,1943.4,11.66428864,10.16181529,0.178175117,0.368739015,-0.307042198,0.032943469
15,7.75,1937.8,10.95647646,8.649441682,0.198205675,0.455428215,-1.014854378,-1.479430139
16,8.25,1932.2,11.0594276,10.10640183,0.213457209,0.493863311,-0.911903238,-0.022469991
17,8.75,1926.55,10.73803794,8.638332812,0.252057183,0.638464673,-1.233292898,-1.490539009
18,9.25,1920.9,11.35322278,9.437981679,0.182430458,0.435538782,-0.618108058,-0.690890142
19,15.25,1847.9,10.47075784,8.579112459,0.270846138,0.643248843,-1.500572998,-1.549759362
20,16.25,1836.7,10.84881913,8.363143081,0.223330242,0.482741119,-1.122511708,-1.76572874
21,18.25,1810.1,9.87180986,6.95153056,0.314225599,0.753575691,-2.099520978,-3.177341261
22,20.25,1783.4,10.67385933,8.678921215,0.174315659,0.348700649,-1.297471508,-1.449950606
